1	0.407	0.196837655	6.034
2	1.906	0.007199659	5.761
3	4.503	0.012919514	6.309
4	4.709	0.179549899	6.031
5	6.247	0.005111006	6.210
6	9.052	0.168640328	6.455
7	10.590	0	6.103
8	0.000	0	0.319
9	1.634	0.169941023	0.478
10	3.986	-0.013276701	-0.127
11	5.960	0.153314294	0.575
12	9.115	0.13756674	0.641
13	10.905	-0.035494939	0.101
14	12.662	-0.238703242	0.174
15	15.306	2.016540272	-0.418
16	-4.572	2.065513855	-0.424
17	-4.222	2.011489057	7.757
18	-4.313	2.167006878	3.965
19	15.071	2.130853155	3.917
20	15.023	2.08993285	7.385
21	12.207	-0.170444619	8.494
22	-1.476	-0.120771984	8.514
24	1.145	0.026356747	8.785
25	5.485	0.004058024	8.782
26	9.814	0.002724153	8.765
27	10.106	-0.015348485	3.206
28	4.921	-0.00693224	3.173
29	0.600	0.011883847	3.193
30	1.725	0.023293967	-1.139
31	4.597	-0.044751608	-1.132
32	10.444	-0.05030571	-1.136
33	14.723	1.595892397	-1.132
36	-3.990	1.630860499	-1.134
37	0.341	-0.028769116	4.758
38	6.060	-0.047066349	4.745
41	10.423	-0.032469352	4.816
